,cik_No1,cik_No2,count
920,1013536,1858879,6
921,1019231,5272,13
922,1019231,16972,1
923,1019231,35527,2
924,1019231,356264,2
925,1019231,712050,2
926,1019231,713676,3
927,1019231,773411,1
928,1019231,857508,3
929,1019231,859139,1
930,1019231,944804,1
931,1019231,1040190,1
932,1019231,1080107,1
933,1019231,1082621,1
934,1019231,1091961,2
935,1019231,1119032,2
936,1019231,1130787,1
937,1019231,1166588,8
938,1019231,1297376,1
939,1019231,1360798,1
940,1019231,1364742,13
941,1019231,1373442,1
942,1019231,1374170,3
943,1019231,1376113,2
944,1019231,1394866,3
945,1019231,1399794,1
946,1019231,1411530,1
947,1019231,1415996,3
948,1019231,1418329,3
949,1019231,1454759,1
950,1019231,1463559,1
951,1019231,1508097,1
952,1019231,1509974,1
953,1019231,1510668,3
954,1019231,1535811,1
955,1019231,1539994,3
956,1019231,1541897,1
957,1019231,1548916,1
958,1019231,1582202,4
959,1019231,1595509,1
960,1019231,1599950,3
961,1019231,1603001,1
962,1019231,1633343,2
963,1019231,1664713,1
964,1019231,1666736,1
965,1019231,1686444,1
966,1019231,1697300,1
967,1019231,1698219,1
968,1019231,1714590,1
969,1019231,1722638,1
970,1019231,1764059,1
971,1019231,1767602,1
972,1019231,1768095,2
973,1019231,1772940,1
974,1019231,1794153,1
975,1019231,1794820,2
976,1019231,1801585,1
977,1019231,1802225,1
978,1019231,1825611,2
979,1019231,1832158,1
980,1019231,1832439,1
981,1019231,1852993,1
982,1027796,5272,11
983,1027796,35527,10
984,1027796,356264,6
985,1027796,713676,10
986,1027796,732905,2
987,1027796,773411,6
988,1027796,857508,3
989,1027796,1040190,1
990,1027796,1056527,2
991,1027796,1080107,5
992,1027796,1091961,4
993,1027796,1105837,2
994,1027796,1119032,2
995,1027796,1140771,2
996,1027796,1166588,11
997,1027796,1297376,10
998,1027796,1334199,1
999,1027796,1360798,2
1000,1027796,1364742,10
1001,1027796,1373442,6
1002,1027796,1374170,9
1003,1027796,1376113,2
1004,1027796,1399794,2
1005,1027796,1411530,5
1006,1027796,1415996,4
1007,1027796,1418329,3
1008,1027796,1463559,3
1009,1027796,1509974,1
1010,1027796,1535811,1
1011,1027796,1541897,3
1012,1027796,1548916,2
1013,1027796,1582202,5
1014,1027796,1599950,3
1015,1027796,1609674,1
1016,1027796,1633697,1
1017,1027796,1686444,2
1018,1027796,1697300,2
1019,1027796,1734493,1
1020,1027796,1794153,1
1021,1027796,1794820,3
1022,1027796,1798736,3
1023,1027796,1801585,1
1024,1027796,1803898,1
1025,1027796,1844568,4
1026,1032814,931097,2
1027,1032814,1039807,1
1028,1032814,1091561,3
1029,1032814,1105837,1
1030,1032814,1168889,3
1031,1032814,1334199,1
1032,1032814,1388409,3
1033,1032814,1444055,1
1034,1032814,1455969,1
1035,1032814,1513211,2
1036,1032814,1547926,9
1037,1032814,1598841,1
1038,1032814,1667140,2
1039,1032814,1713520,6
1040,1032814,1729854,2
1041,1032814,1767307,3
1042,1032814,1801413,1
1043,1032814,1803295,1
1044,1032814,1841015,1
1045,1032814,1858879,2
1046,1039565,5272,1
1047,1039565,35527,1
1048,1039565,712050,1
1049,1039565,713676,4
1050,1039565,773411,1
1051,1039565,1080107,1
1052,1039565,1091961,1
1053,1039565,1105837,2
1054,1039565,1119032,2
1055,1039565,1140771,1
1056,1039565,1166588,2
1057,1039565,1297376,1
1058,1039565,1364742,1
1059,1039565,1373442,1
1060,1039565,1374170,1
1061,1039565,1394866,1
1062,1039565,1541897,1
1063,1039565,1548916,1
1064,1039565,1666736,1
1065,1039565,1697300,1
1066,1039807,914933,12
1067,1039807,931097,5
1068,1039807,1091561,5
1069,1039807,1105837,6
1070,1039807,1168889,3
1071,1039807,1334199,1
1072,1039807,1388409,9
1073,1039807,1444055,1
1074,1039807,1455969,9
1075,1039807,1513211,4
1076,1039807,1547926,3
1077,1039807,1598841,15
1078,1039807,1660405,5
1079,1039807,1667140,9
1080,1039807,1713520,17
1081,1039807,1727593,11
1082,1039807,1729854,18
1083,1039807,1767307,26
1084,1039807,1801413,3
1085,1039807,1803295,2
1086,1039807,1841015,10
1087,1039807,1858879,16
1088,1040190,5272,80
1089,1040190,16972,40
1090,1040190,35527,150
1091,1040190,356264,39
1092,1040190,712050,52
1093,1040190,713676,155
1094,1040190,732905,4
1095,1040190,773411,114
1096,1040190,775368,13
1097,1040190,857508,18
1098,1040190,859139,2
1099,1040190,944804,20
1100,1040190,1002672,1
1101,1040190,1008322,1
1102,1040190,1056527,53
1103,1040190,1078246,28
1104,1040190,1080107,118
1105,1040190,1082621,5
1106,1040190,1091961,6
1107,1040190,1105837,15
1108,1040190,1119032,8
1109,1040190,1130787,46
1110,1040190,1140771,24
1111,1040190,1166588,87
1112,1040190,1271347,2
1113,1040190,1285973,25
1114,1040190,1297376,144
1115,1040190,1334199,2
1116,1040190,1360798,85
1117,1040190,1364742,171
1118,1040190,1373442,118
1119,1040190,1374170,135
1120,1040190,1376113,83
1121,1040190,1394866,32
1122,1040190,1399794,66
1123,1040190,1411530,142
1124,1040190,1415996,104
1125,1040190,1418329,27
1126,1040190,1447946,13
1127,1040190,1454759,8
1128,1040190,1463559,74
1129,1040190,1508097,11
1130,1040190,1509974,34
1131,1040190,1510668,10
1132,1040190,1535811,41
1133,1040190,1539994,20
1134,1040190,1541897,100
1135,1040190,1548916,46
1136,1040190,1582202,132
1137,1040190,1595509,30
1138,1040190,1599950,18
1139,1040190,1603001,29
1140,1040190,1609674,4
1141,1040190,1615135,18
1142,1040190,1633343,15
1143,1040190,1664713,11
1144,1040190,1666736,22
1145,1040190,1672067,20
1146,1040190,1686444,50
1147,1040190,1695426,1
1148,1040190,1697300,75
1149,1040190,1698006,5
1150,1040190,1698219,62
1151,1040190,1714590,22
1152,1040190,1715635,8
1153,1040190,1718570,1
1154,1040190,1722329,8
1155,1040190,1722638,29
1156,1040190,1723925,18
1157,1040190,1728120,2
1158,1040190,1728718,3
1159,1040190,1729854,2
1160,1040190,1734493,28
1161,1040190,1745796,1
1162,1040190,1764059,27
1163,1040190,1764403,1
1164,1040190,1767602,18
1165,1040190,1768095,58
1166,1040190,1772940,5
1167,1040190,1794153,5
1168,1040190,1794820,24
1169,1040190,1798736,1
1170,1040190,1799957,11
1171,1040190,1800620,16
1172,1040190,1801585,2
1173,1040190,1802080,10
1174,1040190,1802225,13
1175,1040190,1803295,8
1176,1040190,1803898,29
1177,1040190,1817652,2
1178,1040190,1825611,20
1179,1040190,1832158,16
1180,1040190,1832439,6
1181,1040190,1840750,8
1182,1040190,1841757,7
1183,1040190,1844568,3
1184,1040190,1852993,28
1185,1056527,5272,156
1186,1056527,16972,52
1187,1056527,35527,248
1188,1056527,356264,47
1189,1056527,712050,70
1190,1056527,713676,260
1191,1056527,732905,5
1192,1056527,733986,1
1193,1056527,773411,141
1194,1056527,775368,11
1195,1056527,857508,24
1196,1056527,859139,1
1197,1056527,944804,15
1198,1056527,1002672,2
1199,1056527,1008322,2
1200,1056527,1027796,1
1201,1056527,1056527,1
1202,1056527,1078246,24
1203,1056527,1080107,153
1204,1056527,1082621,2
1205,1056527,1091961,9
1206,1056527,1105837,13
1207,1056527,1119032,7
1208,1056527,1130787,44
1209,1056527,1140771,24
1210,1056527,1166588,162
