,cik_No1,cik_No2
999,1027796,1360798
1000,1027796,1364742
1001,1027796,1373442
1002,1027796,1374170
1003,1027796,1376113
1004,1027796,1399794
1005,1027796,1411530
1006,1027796,1415996
1007,1027796,1418329
1008,1027796,1463559
1009,1027796,1509974
1010,1027796,1535811
1011,1027796,1541897
1012,1027796,1548916
1013,1027796,1582202
1014,1027796,1599950
1015,1027796,1609674
1016,1027796,1633697
1017,1027796,1686444
1018,1027796,1697300
1019,1027796,1734493
1020,1027796,1794153
1021,1027796,1794820
1022,1027796,1798736
1023,1027796,1801585
1024,1027796,1803898
1025,1027796,1844568
1026,1032814,931097
1027,1032814,1039807
1028,1032814,1091561
1029,1032814,1105837
1030,1032814,1168889
1031,1032814,1334199
1032,1032814,1388409
1033,1032814,1444055
1034,1032814,1455969
1035,1032814,1513211
1036,1032814,1547926
1037,1032814,1598841
1038,1032814,1667140
1039,1032814,1713520
1040,1032814,1729854
1041,1032814,1767307
1042,1032814,1801413
1043,1032814,1803295
1044,1032814,1841015
1045,1032814,1858879
1046,1039565,5272
1047,1039565,35527
1048,1039565,712050
1049,1039565,713676
1050,1039565,773411
1051,1039565,1080107
1052,1039565,1091961
1053,1039565,1105837
1054,1039565,1119032
1055,1039565,1140771
1056,1039565,1166588
1057,1039565,1297376
1058,1039565,1364742
1059,1039565,1373442
1060,1039565,1374170
1061,1039565,1394866
1062,1039565,1541897
1063,1039565,1548916
1064,1039565,1666736
1065,1039565,1697300
1066,1039807,914933
1067,1039807,931097
1068,1039807,1091561
1069,1039807,1105837
1070,1039807,1168889
1071,1039807,1334199
1072,1039807,1388409
1073,1039807,1444055
1074,1039807,1455969
1075,1039807,1513211
1076,1039807,1547926
1077,1039807,1598841
1078,1039807,1660405
1079,1039807,1667140
1080,1039807,1713520
1081,1039807,1727593
1082,1039807,1729854
1083,1039807,1767307
1084,1039807,1801413
1085,1039807,1803295
1086,1039807,1841015
1087,1039807,1858879
1088,1040190,5272
1089,1040190,16972
1090,1040190,35527
1091,1040190,356264
1092,1040190,712050
1093,1040190,713676
1094,1040190,732905
1095,1040190,773411
1096,1040190,775368
1097,1040190,857508
1098,1040190,859139
1099,1040190,944804
1100,1040190,1002672
1101,1040190,1008322
1102,1040190,1056527
1103,1040190,1078246
1104,1040190,1080107
1105,1040190,1082621
1106,1040190,1091961
1107,1040190,1105837
1108,1040190,1119032
1109,1040190,1130787
1110,1040190,1140771
1111,1040190,1166588
1112,1040190,1271347
1113,1040190,1285973
1114,1040190,1297376
1115,1040190,1334199
1116,1040190,1360798
1117,1040190,1364742
1118,1040190,1373442
1119,1040190,1374170
1120,1040190,1376113
1121,1040190,1394866
1122,1040190,1399794
1123,1040190,1411530
1124,1040190,1415996
1125,1040190,1418329
1126,1040190,1447946
1127,1040190,1454759
1128,1040190,1463559
1129,1040190,1508097
1130,1040190,1509974
1131,1040190,1510668
1132,1040190,1535811
1133,1040190,1539994
1134,1040190,1541897
1135,1040190,1548916
1136,1040190,1582202
1137,1040190,1595509
1138,1040190,1599950
1139,1040190,1603001
1140,1040190,1609674
1141,1040190,1615135
1142,1040190,1633343
1143,1040190,1664713
1144,1040190,1666736
1145,1040190,1672067
1146,1040190,1686444
1147,1040190,1695426
1148,1040190,1697300
1149,1040190,1698006
1150,1040190,1698219
1151,1040190,1714590
1152,1040190,1715635
1153,1040190,1718570
1154,1040190,1722329
1155,1040190,1722638
1156,1040190,1723925
1157,1040190,1728120
1158,1040190,1728718
1159,1040190,1729854
1160,1040190,1734493
1161,1040190,1745796
1162,1040190,1764059
1163,1040190,1764403
1164,1040190,1767602
1165,1040190,1768095
1166,1040190,1772940
1167,1040190,1794153
1168,1040190,1794820
1169,1040190,1798736
1170,1040190,1799957
1171,1040190,1800620
1172,1040190,1801585
1173,1040190,1802080
1174,1040190,1802225
1175,1040190,1803295
1176,1040190,1803898
1177,1040190,1817652
1178,1040190,1825611
1179,1040190,1832158
1180,1040190,1832439
1181,1040190,1840750
1182,1040190,1841757
1183,1040190,1844568
1184,1040190,1852993
1185,1056527,5272
1186,1056527,16972
1187,1056527,35527
1188,1056527,356264
1189,1056527,712050
1190,1056527,713676
1191,1056527,732905
1192,1056527,733986
1193,1056527,773411
1194,1056527,775368
1195,1056527,857508
1196,1056527,859139
1197,1056527,944804
1198,1056527,1002672
1199,1056527,1008322
1200,1056527,1027796
1201,1056527,1056527
1202,1056527,1078246
1203,1056527,1080107
1204,1056527,1082621
1205,1056527,1091961
1206,1056527,1105837
1207,1056527,1119032
1208,1056527,1130787
1209,1056527,1140771
1210,1056527,1166588
1211,1056527,1271347
1212,1056527,1285973
1213,1056527,1297376
1214,1056527,1334199
1215,1056527,1360798
1216,1056527,1364742
1217,1056527,1373442
1218,1056527,1374170
1219,1056527,1376113
1220,1056527,1388409
1221,1056527,1394866
1222,1056527,1399794
1223,1056527,1411530
1224,1056527,1415996
1225,1056527,1418329
1226,1056527,1447946
1227,1056527,1454759
1228,1056527,1455969
1229,1056527,1463559
1230,1056527,1508097
1231,1056527,1509974
1232,1056527,1510668
1233,1056527,1535811
1234,1056527,1539994
1235,1056527,1541897
1236,1056527,1548916
1237,1056527,1582202
1238,1056527,1595509
1239,1056527,1599950
1240,1056527,1603001
1241,1056527,1609674
1242,1056527,1615135
1243,1056527,1633343
1244,1056527,1633697
1245,1056527,1664713
1246,1056527,1666736
1247,1056527,1672067
1248,1056527,1686444
1249,1056527,1695426
1250,1056527,1697300
1251,1056527,1698006
1252,1056527,1698219
1253,1056527,1714590
1254,1056527,1715635
1255,1056527,1718570
1256,1056527,1722329
1257,1056527,1722638
1258,1056527,1723925
1259,1056527,1728120
1260,1056527,1728718
1261,1056527,1729854
1262,1056527,1734493
1263,1056527,1745796
1264,1056527,1764059
1265,1056527,1764403
1266,1056527,1767602
1267,1056527,1768095
1268,1056527,1772940
1269,1056527,1794153
1270,1056527,1794198
1271,1056527,1794820
1272,1056527,1798736
1273,1056527,1799957
1274,1056527,1800620
1275,1056527,1801585
1276,1056527,1802080
1277,1056527,1802225
1278,1056527,1803295
1279,1056527,1803898
1280,1056527,1817646
1281,1056527,1825611
1282,1056527,1832158
1283,1056527,1832439
1284,1056527,1840750
1285,1056527,1841757
1286,1056527,1844568
1287,1056527,1844892
1288,1056527,1852993
1289,1078246,5272
1290,1078246,16972
1291,1078246,35527
1292,1078246,356264
1293,1078246,712050
1294,1078246,713676
1295,1078246,732905
1296,1078246,733986
1297,1078246,773411
1298,1078246,775368
1299,1078246,857508
1300,1078246,859139
1301,1078246,944804
1302,1078246,1002672
1303,1078246,1008322
1304,1078246,1078246
1305,1078246,1080107
1306,1078246,1082621
1307,1078246,1091961
1308,1078246,1105837
1309,1078246,1119032
1310,1078246,1130787
1311,1078246,1140771
1312,1078246,1166588
1313,1078246,1271347
1314,1078246,1285973
1315,1078246,1297376
